stock_1,stock_2,stock_3,stock_4
37.7209,7.4466,1.8749,35.8692
37.7891,7.4560,1.8451,35.4762
37.4772,7.6266,1.8352,35.7663
36.3758,7.5508,1.8451,35.6727
36.6682,7.5981,1.8650,35.5417
36.7559,7.5318,1.8451,34.8960
35.9957,7.4939,1.8451,35.1299
36.7267,7.6171,1.8848,35.5323
36.2394,7.5318,2.0733,35.0925
36.1614,7.4655,2.0336,34.5497
36.2004,7.4655,2.0138,34.7369
36.4245,7.4845,1.9939,35.2703
36.6390,7.5792,1.9840,34.8305
36.7170,7.4655,1.9840,34.6995
37.0386,7.5224,1.9939,34.4655
36.6000,7.4939,1.9840,34.7837
36.1600,7.4750,2.0534,33.8947
36.1600,7.4466,2.1130,32.9495
36.3800,7.4655,2.0733,33.2209
37.1100,7.4466,2.1229,33.4549
37.0300,7.5318,2.0931,33.2864
37.3300,7.5129,2.1229,33.3145
37.0700,7.3613,2.1427,33.2303
37.7600,7.4560,2.1526,33.8573
38.0700,7.6076,2.1229,34.5123
38.0600,7.5034,2.1030,34.1848
38.2900,7.5508,2.1130,34.7182
37.9000,7.4939,2.0832,34.7182
37.7400,7.5508,2.2122,34.5200
37.4400,7.5034,2.4304,33.7400
37.6000,7.5508,2.4304,33.8800
38.0000,7.5318,2.6189,33.9600
38.7000,7.5508,2.6288,34.3300
38.8000,7.6171,2.4899,34.4100
38.0500,7.6266,2.3700,34.6600
38.9500,7.5887,2.3500,35.2800
38.4400,7.5697,2.4900,35.5600
37.8200,7.5413,2.4100,36.0000
37.3800,7.5603,2.4400,35.8900
37.0200,7.4845,2.3700,34.9600
36.6200,7.4560,2.3700,34.8400
36.3400,7.4655,2.3600,35.0000
36.1100,7.4560,2.2800,35.1500
36.3800,7.4939,2.2600,35.7900
35.9600,7.4371,2.2600,35.3500
36.0900,7.3802,2.2200,34.7700
35.6800,7.2666,2.1300,34.0000
36.0500,7.3802,2.1600,35.1100
36.1600,7.3992,2.1800,34.7400
36.5000,7.3802,2.1700,34.5500
36.1200,7.3300,2.1800,34.0200
36.2800,7.3500,2.1400,33.2800
36.6100,7.3500,2.1400,33.1900
36.5800,7.3800,2.1600,33.4200
36.4100,7.3400,2.1600,32.9100
36.7700,7.3300,2.1900,32.9800
35.8300,7.2600,2.2600,32.5000
35.8400,7.2300,2.1900,32.3600
35.3000,7.1400,2.1000,31.3200
35.1600,7.0700,2.1200,30.8800
35.5800,7.0900,2.1100,31.1900
36.3600,7.1500,2.1400,32.0300
36.3400,7.1200,2.1400,32.5500
36.3800,7.1200,2.1600,32.5000
35.9500,7.0900,2.1500,32.3700
36.5000,7.1800,2.1700,32.7200
36.6200,7.2400,2.1900,32.8800
36.2500,7.2100,2.2200,32.6700
36.3100,7.1900,2.1900,32.7500
36.3400,7.2800,2.1800,32.7600
36.0000,7.2100,2.1300,31.6200
35.7800,7.2000,2.1300,31.9000
