date,open,high,low,close,volume
2005-01-04,996.377,996.377,981.555,981.555,180302622
2005-01-05,981.105,986.535,981.105,986.535,164649599
2005-01-06,987.008,987.008,975.526,975.526,160063142
2005-01-07,975.578,982.043,975.578,980.717,174006153
2005-01-10,979.749,989.529,979.749,989.529,147843280
2005-01-11,989.476,990.284,989.419,990.284,131637161
2005-01-12,984.538,989.82,984.538,989.82,116783052
2005-01-13,989.48,991.597,989.48,989.733,142333798
2005-01-14,989.965,992.054,984.756,984.756,141769841
2005-01-17,976.156,976.156,961.33,961.33,190420137
2005-01-18,960.484,965.385,954.451,965.385,190676115
2005-01-19,964.373,964.373,958.957,959.25,153362251
2005-01-20,955.124,955.124,949.45,949.45,190564145
2005-01-21,948.026,976.921,948.026,976.921,336831070
2005-01-24,989.818,992.222,989.818,992.222,356808925
2005-01-25,989.75,994.673,986.696,994.673,256139189
2005-01-26,991.247,991.247,988.217,988.217,201990988
2005-01-27,987.629,987.629,976.555,976.555,168322279
2005-01-28,976.555,976.555,969.622,969.622,160279810
2005-01-31,967.013,967.013,957.675,959.102,174043874
2005-02-01,957.8,967.853,957.8,962.419,196263021
2005-02-02,963.157,1012.532,963.157,1012.532,478307945
2005-02-03,1013.1,1013.1,1004.114,1004.114,509164472
2005-02-04,1002.827,1027.263,1002.827,1027.263,494780176
2005-02-16,1033.078,1042.071,1033.078,1034.993,374412290
2005-02-17,1035.382,1035.382,1022.646,1028.542,255415498
2005-02-18,1028.253,1028.253,1013.775,1013.775,208233585
2005-02-21,1013.861,1032.686,1013.861,1032.686,243387679
2005-02-22,1033.604,1054.207,1033.604,1054.207,483533990
2005-02-23,1053.495,1054.109,1047.416,1054.109,505296491
2005-02-24,1052.492,1053.407,1044.527,1053.407,413890002
2005-02-25,1054.395,1064.126,1053.837,1053.837,488802379
2005-02-28,1053.114,1053.114,1047.244,1047.244,327242251
2005-03-01,1045.881,1045.881,1039.892,1040.558,269780104
2005-03-02,1040.961,1040.961,1023.222,1023.222,418171090
2005-03-03,1021.639,1031.409,1020.235,1031.409,262707900
2005-03-04,1031.849,1031.849,1027.517,1027.517,225048266
2005-03-07,1027.95,1033.97,1027.95,1033.627,234820725
2005-03-08,1037.081,1054.096,1037.081,1054.096,397878519
2005-03-09,1056.375,1056.375,1048.582,1054.37,380924296
2005-03-10,1053.919,1053.919,1027.817,1027.817,319254335
